Frequency,Age,Conductivity_Mean,RelativePermittivity_Mean,Label,Orientation_Transverse,Disease_ActRIIB,Disease_MDX,Disease_PBS,Disease_SMA
105000,10,0.295775801,16472.17358,0,TRUE,FALSE,TRUE,FALSE,FALSE
105000,13,0.472630644,18747.8508,0,FALSE,FALSE,TRUE,FALSE,FALSE
105000,13,0.380011165,20863.10558,0,TRUE,FALSE,TRUE,FALSE,FALSE
105000,43,0.184901313,5690.903316,0,FALSE,FALSE,TRUE,FALSE,FALSE
105000,43,0.127598834,7327.943667,0,TRUE,FALSE,TRUE,FALSE,FALSE
105000,6,0.399648905,14161.55009,0,FALSE,FALSE,TRUE,FALSE,FALSE
105000,6,0.281386004,15675.04444,0,TRUE,FALSE,TRUE,FALSE,FALSE
105000,40,0.181640752,7198.27566,0,FALSE,FALSE,FALSE,FALSE,TRUE
105000,40,0.074559578,6534.361612,0,TRUE,FALSE,FALSE,FALSE,TRUE
126000,16,0.161062112,14326.68043,0,FALSE,FALSE,FALSE,FALSE,FALSE
126000,16,0.149781067,14402.57701,0,TRUE,FALSE,FALSE,FALSE,FALSE
126000,18,0.159313594,17038.97541,0,FALSE,FALSE,FALSE,FALSE,FALSE
126000,18,0.130913765,13039.48891,0,TRUE,FALSE,FALSE,FALSE,FALSE
126000,8,0.306087865,22442.7592,0,FALSE,FALSE,FALSE,FALSE,FALSE
126000,8,0.164367891,17546.31631,0,TRUE,FALSE,FALSE,FALSE,FALSE
126000,10,0.434118257,14308.98552,0,FALSE,FALSE,TRUE,FALSE,FALSE
126000,10,0.30808236,14404.4326,0,TRUE,FALSE,TRUE,FALSE,FALSE
126000,13,0.48670427,16056.29163,0,FALSE,FALSE,TRUE,FALSE,FALSE
126000,13,0.395447087,18197.52433,0,TRUE,FALSE,TRUE,FALSE,FALSE
126000,43,0.188954173,4910.646435,0,FALSE,FALSE,TRUE,FALSE,FALSE
126000,43,0.133108281,6411.537442,0,TRUE,FALSE,TRUE,FALSE,FALSE
126000,6,0.409375757,12160.25131,0,FALSE,FALSE,TRUE,FALSE,FALSE
126000,6,0.292939182,13875.01124,0,TRUE,FALSE,TRUE,FALSE,FALSE
126000,40,0.18614737,6203.071255,0,FALSE,FALSE,FALSE,FALSE,TRUE
126000,40,0.079445904,5785.7618,0,TRUE,FALSE,FALSE,FALSE,TRUE
150000,16,0.173558575,12756.38542,0,FALSE,FALSE,FALSE,FALSE,FALSE
150000,16,0.162301215,13034.98785,0,TRUE,FALSE,FALSE,FALSE,FALSE
150000,18,0.170726613,15458.0782,0,FALSE,FALSE,FALSE,FALSE,FALSE
150000,18,0.139778291,11855.43734,0,TRUE,FALSE,FALSE,FALSE,FALSE
150000,8,0.325970427,19846.35539,0,FALSE,FALSE,FALSE,FALSE,FALSE
150000,8,0.179122703,15863.0285,0,TRUE,FALSE,FALSE,FALSE,FALSE
150000,10,0.446527601,12191.90288,0,FALSE,FALSE,TRUE,FALSE,FALSE
150000,10,0.320491304,12592.76806,0,TRUE,FALSE,TRUE,FALSE,FALSE
150000,13,0.500420977,13777.93185,0,FALSE,FALSE,TRUE,FALSE,FALSE
150000,13,0.410984163,15873.18542,0,TRUE,FALSE,TRUE,FALSE,FALSE
150000,43,0.192834002,4263.99563,0,FALSE,FALSE,TRUE,FALSE,FALSE
150000,43,0.1387278,5598.114344,0,TRUE,FALSE,TRUE,FALSE,FALSE
150000,6,0.41870694,10492.29824,0,FALSE,FALSE,TRUE,FALSE,FALSE
150000,6,0.304717056,12272.64783,0,TRUE,FALSE,TRUE,FALSE,FALSE
150000,40,0.190494251,5373.257768,0,FALSE,FALSE,FALSE,FALSE,TRUE
150000,40,0.084357094,5122.325254,0,TRUE,FALSE,FALSE,FALSE,TRUE
178000,16,0.186684661,11300.04145,0,FALSE,FALSE,FALSE,FALSE,FALSE
178000,16,0.175957906,11722.54577,0,TRUE,FALSE,FALSE,FALSE,FALSE
178000,18,0.183235685,14053.69183,0,FALSE,FALSE,FALSE,FALSE,FALSE
178000,18,0.149336313,10787.61869,0,TRUE,FALSE,FALSE,FALSE,FALSE
178000,8,0.347436341,17468.38058,0,FALSE,FALSE,FALSE,FALSE,FALSE
178000,8,0.195222907,14270.73575,0,TRUE,FALSE,FALSE,FALSE,FALSE
178000,10,0.458535856,10350.85256,0,FALSE,FALSE,TRUE,FALSE,FALSE
178000,10,0.333131719,10983.98525,0,TRUE,FALSE,TRUE,FALSE,FALSE
178000,13,0.513944113,11817.22788,0,FALSE,FALSE,TRUE,FALSE,FALSE
178000,13,0.42665309,13808.10676,0,TRUE,FALSE,TRUE,FALSE,FALSE
178000,43,0.196781131,3698.951526,0,FALSE,FALSE,TRUE,FALSE,FALSE
178000,43,0.14449371,4866.632613,0,TRUE,FALSE,TRUE,FALSE,FALSE
178000,6,0.427996516,9078.661638,0,FALSE,FALSE,TRUE,FALSE,FALSE
178000,6,0.316885452,10823.18353,0,TRUE,FALSE,TRUE,FALSE,FALSE
178000,40,0.194670177,4678.960968,0,FALSE,FALSE,FALSE,FALSE,TRUE
178000,40,0.089457169,4498.650312,0,TRUE,FALSE,FALSE,FALSE,TRUE
212000,16,0.200938197,9900.587919,0,FALSE,FALSE,FALSE,FALSE,FALSE
212000,16,0.191433661,10426.21425,0,TRUE,FALSE,FALSE,FALSE,FALSE
212000,18,0.196779162,12695.68906,0,FALSE,FALSE,FALSE,FALSE,FALSE
212000,18,0.1597169,9774.420248,0,TRUE,FALSE,FALSE,FALSE,FALSE
212000,8,0.370930516,15205.14446,0,FALSE,FALSE,FALSE,FALSE,FALSE
212000,8,0.213511937,12724.27075,0,TRUE,FALSE,FALSE,FALSE,FALSE
212000,10,0.470758437,8734.318497,0,FALSE,FALSE,TRUE,FALSE,FALSE
212000,10,0.346419845,9494.069456,0,TRUE,FALSE,TRUE,FALSE,FALSE
212000,13,0.52779191,10074.64983,0,FALSE,FALSE,TRUE,FALSE,FALSE
212000,13,0.442953418,11923.81063,0,TRUE,FALSE,TRUE,FALSE,FALSE
212000,43,0.200896177,3198.955589,0,FALSE,FALSE,TRUE,FALSE,FALSE
212000,43,0.150496873,4200.762067,0,TRUE,FALSE,TRUE,FALSE,FALSE
212000,6,0.437489242,7833.991841,0,FALSE,FALSE,TRUE,FALSE,FALSE
212000,6,0.329858954,9463.42965,0,TRUE,FALSE,TRUE,FALSE,FALSE
212000,40,0.198676228,4083.577528,0,FALSE,FALSE,FALSE,FALSE,TRUE
212000,40,0.094781234,3922.959911,0,TRUE,FALSE,FALSE,FALSE,TRUE
253000,16,0.216033591,8589.786385,0,FALSE,FALSE,FALSE,FALSE,FALSE
253000,16,0.208566391,9156.880658,0,TRUE,FALSE,FALSE,FALSE,FALSE
253000,18,0.211089704,11401.33314,0,FALSE,FALSE,FALSE,FALSE,FALSE
253000,18,0.170449688,8799.426431,0,TRUE,FALSE,FALSE,FALSE,FALSE
253000,8,0.396227878,13070.12384,0,FALSE,FALSE,FALSE,FALSE,FALSE
